Team,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PTS/G,Team_ID,Date
marquette,37.0,7425.0,973,2094,.465,782,1547,.505,191,547,.349,645,927,.696,457,872,1329,574,265,134,455,622,2782,75.2,1266,2011.0
michigan,35.0,7050.0,847,1889,.448,564,1085,.520,283,804,.352,351,502,.699,289,826,1115,480,168,69,351,587,2328,66.5,1276,2011.0
north-carolina,37.0,7424.0,1044,2317,.451,854,1738,.491,190,579,.328,590,878,.672,525,1053,1578,573,232,204,493,597,2868,77.5,1314,2011.0
notre-dame,34.0,6900.0,843,1832,.460,570,1124,.507,273,708,.386,599,827,.724,371,890,1261,563,156,128,364,517,2558,75.2,1323,2011.0
ohio-state,37.0,7425.0,1017,2059,.494,732,1385,.529,285,674,.423,535,763,.701,419,858,1277,587,263,118,375,519,2854,77.1,1326,2011.0
purdue,34.0,6825.0,875,1957,.447,640,1312,.488,235,645,.364,481,673,.715,380,827,1207,538,211,141,354,605,2466,72.5,1345,2011.0
syracuse,35.0,7050.0,936,1983,.472,714,1355,.527,222,628,.354,474,713,.665,429,879,1308,566,304,231,433,544,2568,73.4,1393,2011.0
texas,36.0,7250.0,954,2099,.455,753,1564,.481,201,535,.376,592,905,.654,494,958,1452,485,207,183,425,616,2701,75.0,1400,2011.0
washington,35.0,7050.0,1061,2260,.469,756,1439,.525,305,821,.371,480,712,.674,488,879,1367,593,234,179,426,718,2907,83.1,1449,2011.0
alabama-birmingham,31.0,6350.0,756,1725,.438,517,1027,.503,239,698,.342,368,513,.717,352,757,1109,420,164,97,387,514,2119,68.4,1412,2011.0
arkansas-little-rock,36.0,7275.0,825,1938,.426,583,1323,.441,242,615,.393,565,819,.690,377,827,1204,433,212,89,428,740,2457,68.3,1114,2011.0
alabama-state,35.0,7050.0,728,1841,.395,563,1258,.448,165,583,.283,525,870,.603,460,811,1271,404,255,163,551,777,2146,61.3,1106,2011.0
