team_id,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G,W-L%,SRS,SOS,opp_PPG,Seed
100132,935,2039,0.45899999999999996,677,1353,0.5,258,686,0.376,665,910,0.731,430.0,856.0,1286,527,207,103,478.0,,82.1,.706,16.93,12.49,77.7,3
100133,1093,2209,0.495,792,1379,0.574,301,830,0.363,625,906,0.69,428.0,875.0,1303,625,351,113,501.0,,88.9,.886,28.91,9.16,69.2,1
100134,916,1990,0.46,646,1331,0.485,270,659,0.41,505,726,0.696,406.0,897.0,1303,546,254,192,508.0,,70.5,.676,19.19,12.08,62.6,5
100135,1259,2487,0.506,1035,1951,0.53,224,536,0.418,623,867,0.7190000000000001,557.0,1081.0,1638,767,357,210,602.0,,90.9,.892,24.38,9.35,74.7,1
100136,986,2102,0.469,762,1488,0.512,224,614,0.365,536,736,0.728,474.0,848.0,1322,483,229,72,391.0,,75.9,.833,13.67,2.10,64.0,10
100137,905,2021,0.44799999999999995,686,1329,0.516,219,692,0.316,431,638,0.6759999999999999,492.0,791.0,1283,471,252,153,460.0,,76.9,.688,19.15,11.99,68.2,4
100138,1031,2253,0.45799999999999996,705,1419,0.49700000000000005,326,834,0.391,489,709,0.69,535.0,880.0,1415,539,264,154,511.0,,79.9,.667,14.22,6.81,72.5,12
100139,934,2037,0.45899999999999996,690,1393,0.495,244,644,0.379,489,690,0.7090000000000001,436.0,915.0,1351,629,259,163,435.0,,78.8,.667,15.70,6.17,68.4,8
100140,825,1702,0.485,650,1236,0.526,175,466,0.376,537,795,0.675,351.0,701.0,1052,483,193,75,421.0,,73.8,.750,16.14,7.26,64.9,4
100141,1014,2082,0.48700000000000004,710,1361,0.522,304,721,0.42200000000000004,662,861,0.769,384.0,896.0,1280,580,261,114,482.0,,85.5,.743,19.67,6.93,72.5,2
100142,822,1823,0.451,615,1215,0.506,207,608,0.34,569,813,0.7,446.0,808.0,1254,480,152,130,409.0,,80.7,.667,17.03,9.03,72.7,8
100143,961,2016,0.47700000000000004,702,1377,0.51,259,639,0.405,545,724,0.753,373.0,841.0,1214,586,269,153,436.0,,80.2,.794,12.66,2.30,69.5,12
100144,784,1803,0.435,563,1211,0.465,221,592,0.373,451,655,0.6890000000000001,374.0,762.0,1136,453,274,104,403.0,,67.9,.697,6.15,-0.09,61.6,13
100145,1001,2094,0.478,761,1439,0.529,240,655,0.366,547,741,0.738,438.0,871.0,1309,553,220,140,497.0,,82.0,.618,15.25,10.28,77.1,7
100146,795,1745,0.456,663,1305,0.508,132,440,0.3,602,862,0.698,394.0,851.0,1245,418,212,136,449.0,,75.0,.710,8.62,2.72,68.7,11
100147,835,1849,0.452,648,1254,0.517,187,595,0.314,453,669,0.677,365.0,722.0,1087,487,254,132,423.0,,72.2,.719,13.08,7.45,66.6,6
100148,967,2071,0.467,758,1494,0.507,209,577,0.36200000000000004,595,839,0.7090000000000001,462.0,934.0,1396,480,167,154,416.0,,78.2,.886,24.38,6.58,60.4,1
100149,972,2012,0.483,818,1621,0.505,154,391,0.39399999999999996,548,787,0.696,464.0,917.0,1381,494,256,236,545.0,,77.8,.794,16.02,7.43,69.2,2
100150,849,1829,0.46399999999999997,619,1210,0.512,230,619,0.37200000000000005,493,675,0.73,384.0,758.0,1142,488,261,125,458.0,,75.7,.719,8.38,1.38,68.7,12
